Make,Fuel,Aspiration,Doors,Body,Drive,EngineLoc,Wheelbase,Length,Width,Height,Weight,EngineType,Cylinders,HwyMpg
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,27
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,27
alfa-romero,gas,std,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,26
audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,30
audi,gas,std,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5,22
audi,gas,std,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,25
audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,25
audi,gas,std,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,25
audi,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,20
audi,gas,turbo,2,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,5,22
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,29
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,29
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,28
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,28
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,6,25
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,6,22
bmw,gas,std,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,22
bmw,gas,std,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,6,20
chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,53
chevrolet,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,43
chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,4,43
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,41
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,38
dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,30
dodge,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,38
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,38
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,38
dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,30
dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,30
dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,24
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,54
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,38
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,4,42
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,4,34
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,4,34
honda,gas,std,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,4,34
honda,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,34
honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,33
honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,28
honda,gas,std,2,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,4,31
isuzu,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,29
isuzu,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,43
isuzu,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,4,43
isuzu,gas,std,2,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,4,29
jaguar,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,19
jaguar,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,19
jaguar,gas,std,2,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,12,17
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,31
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,38
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,38
mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,38
mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,38
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,2,23
mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,32
mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,32
mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,32
mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,32
mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,42
mazda,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,32
mazda,gas,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,4,27
mazda,diesel,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,4,39
mercedes-benz,diesel,turbo,4,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,5,25
mercedes-benz,diesel,turbo,4,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,5,25
mercedes-benz,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,25
mercedes-benz,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,25
mercedes-benz,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,18
mercedes-benz,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,18
mercedes-benz,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,16
mercedes-benz,gas,std,2,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,8,16
mercury,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,4,24
mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,41
mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,38
mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,38
mitsubishi,gas,turbo,2,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,4,30
mitsubishi,gas,turbo,2,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,4,30
mitsubishi,gas,std,2,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,4,32
mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,24
mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,24
mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,24
mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,32
mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,32
mitsubishi,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,30
mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,30
nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,37
nissan,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,50
nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,37
nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,37
nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,37
nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,37
nissan,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,37
nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,37
nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,37
nissan,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,37
nissan,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,34
nissan,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,34
nissan,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,22
nissan,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,22
nissan,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,25
nissan,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,25
nissan,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,23
nissan,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,25
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,24
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,33
peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,24
peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,25
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,24
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,33
peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,24
peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,25
peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,24
peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,33
peugot,gas,turbo,4,sedan,rwd,front,108,186.7,68.3,56,3130,l,4,24
plymouth,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,41
plymouth,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,30
plymouth,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,38
plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,38
plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,38
plymouth,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,30
plymouth,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,24
porsche,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,27
porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,25
porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,25
porsche,gas,std,2,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,6,25
porsche,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,28
renault,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,31
renault,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,31
saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,28
saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,28
saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,28
saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,28
saab,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,26
saab,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,26
subaru,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,36
subaru,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,31
subaru,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,31
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,4,37
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,4,33
subaru,gas,std,4,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,4,32
subaru,gas,std,4,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,4,25
subaru,gas,turbo,4,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,4,29
subaru,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,4,32
subaru,gas,std,4,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,4,31
subaru,gas,std,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,29
subaru,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,23
toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,39
toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,38
toyota,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,38
toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,37
toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,32
toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,32
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,4,37
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,37
toyota,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,4,36
toyota,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,47
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,4,47
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,34
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,34
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,4,34
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,4,34
toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,4,29
toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,4,29
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,4,30
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,4,30
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,4,30
toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,4,30
toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,4,30
toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,4,30
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,4,34
toyota,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,4,33
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,4,32
toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,4,32
toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,4,32
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,6,24
toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,6,24
toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,6,24
toyota,gas,std,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,6,24
volkswagen,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,4,46
volkswagen,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,4,34
volkswagen,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,4,46
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,4,34
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,4,34
volkswagen,diesel,turbo,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,4,42
volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,4,32
volkswagen,gas,std,2,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,4,29
volkswagen,gas,std,2,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,4,29
volkswagen,gas,std,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,5,24
volkswagen,diesel,turbo,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,4,38
volkswagen,gas,std,4,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,4,31
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,4,28
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,4,28
volvo,gas,std,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,4,28
volvo,gas,std,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,4,28
volvo,gas,turbo,4,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,4,22
volvo,gas,turbo,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,4,22
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,4,28
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,4,25
volvo,gas,std,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,6,23
volvo,diesel,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,6,27
volvo,gas,turbo,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,4,25
